id,code,nama,unit,description,status,deleted_at,updated_at,created_at
23,ITEMTEST,TESTITEM,Pcs,ITEM FOR TEST,available,,2025-11-10 14:45:53,2025-10-08 12:30:04
24,M102,Fuel Filter 1372444,Pcs,,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
25,M104,Fuel Filter 20801-02121K/FC-1503,Pcs,TCM,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
26,M105,Fuel Filter 23303-64010/FC-1104,Pcs,Toyota Group,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
27,M106,Fuel Filter 23303-64010(Orginal),Pcs,Toyota Series,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
28,M108,Fuel Filter FC-1007,Pcs,,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
29,M109,Fuel Filter FC-1703,Pcs,TYT 5FD25-30,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
30,M112,Fuel Filter FC-1001 / 220900,Pcs,,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
31,M115,Fuel Filter FC-1804 / 16403-Z9000,Pcs,Nissan,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
32,M118,Fuel Filter FC-1003,Pcs,TYT 5FD60/80,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
33,M119,Fuel Filter EF-1002,Pcs,Cat FD150,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
34,M120,Fuel Filter WK-731,Pcs,Heli 10 Ton,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
35,M121,Fuel Filter FC-1806,Pcs,Heli 10 Ton,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
36,M122,Fuel Filter FF-8813,Pcs,China Forklift,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
37,M202,Oil Filter C-6202,Pcs,Mith FD25,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
38,M204,Oil Filter 15208-13210,Pcs,Forklift,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
39,M206,Oil Filter 15600-41010/C-1121,Pcs,Toyota 7FD40,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
40,M207,Oil Filter 20801-01441K/C-1305,Pcs,TCM FD70Z8,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
41,M208,Oil Filter 600-211-5240 / C-5604,Pcs,Kom FD25/30-11/FD40-5,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
42,M211,Oil Filter C1110,Pcs,Toyota Group,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
43,M212,Oil Filter 15601-76009-71 (Original),Pcs,Toyota 8FD25,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
44,M220,Oil Filter C-1150/C-1109,Pcs,Toyota 8FG25,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
45,M221,Oil Filter C-5703,Pcs,Toyota 8FD60/80,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
46,M222,Oil Filter C-5704,Pcs,,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
47,M223,Oil Filter C-5811,Pcs,Caterpilar FD30,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
48,M224,Oil Filter C-1002,Pcs,Kom FD30,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
49,M225,Oil Filter SFO 4013,Pcs,Cat FD150,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
50,M226,Oil Filter C-1803,Pcs,Nissan FD30,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
51,M227,Oil Filter C-1511,Pcs,TCM FD25Z/30Z,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
52,M228,Oil Filter FO-3810,Pcs,China Forklift,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
53,M301,Hydraulic Filter 67502-26600-71G,Pcs,TYT 8FD25,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
54,M302,Hydraulic Filter 0019982301,Pcs,,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
55,M304,Hydraulic Filter FOH-5910,Pcs,TYT 7FD25,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
56,M305,Hydraulic Filter HC 18020,Pcs,TYT 7FD25,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
57,M309,Hydraulic Oil Filter 0009839344,Pcs,,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
58,M310,Hydraulic Filter(Suction) 0009831621,Pcs,Linde E15,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
59,M311,Hydraulic Filter HC-7901,Pcs,,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
60,M312,Hydraulic Filter 5FD80,Pcs,5FD80,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
61,M313,Hydraulic Filter 400/0009831616,Pcs,Linde E16c,available,,2025-11-10 09:04:34,2025-11-10 08:50:11
