"id","forklift_id","tanggal","pekerjaan","recommendation","next_pm","report_no","scanned_document","created_at","updated_at","deleted_at"
"1","1","2024-12-25","<p>wqe</p>","<p>qwe</p>",NULL,"WEQWQ",NULL,"2024-12-25 12:23:46","2024-12-25 12:36:07","2024-12-25 12:36:07"
"2","4","2024-12-25","<p>123123</p>","<p>123123</p>","2025-01-25","123123",NULL,"2024-12-25 12:24:43","2024-12-25 12:36:12","2024-12-25 12:36:12"
"3","31","2024-12-27","hose radiator bawah 1pc, olli hydrolic 3ltr. recomend, tabung tilt cylinder bocor sebelah kanan, control valve bocor, pompa hydrolic bocor.",NULL,NULL,"1212",NULL,"2024-12-27 07:39:50","2024-12-27 07:46:36","2024-12-27 07:46:36"
"4","31","2024-12-27","<p>hose radiator bawah 1pc, olli hydrolic 3ltr. recomend, tabung tilt cylinder bocor sebelah kanan, control valve bocor, pompa hydrolic bocor.</p>",NULL,NULL,"1212",NULL,"2024-12-27 07:43:34","2024-12-27 07:46:46","2024-12-27 07:46:46"
"5","31","2024-12-27","<p>hose radiator bawah 1pc, olli hydrolic 3ltr. recomend, tabung tilt cylinder bocor sebelah kanan, control valve bocor, pompa hydrolic bocor.</p>",NULL,NULL,"1212",NULL,"2024-12-27 07:44:19","2024-12-27 07:46:56","2024-12-27 07:46:56"
"6","31","2024-12-27","<p>hose radiator bawah 1pc, olli hydrolic 3ltr. recomend, tabung tilt cylinder bocor sebelah kanan, control valve bocor, pompa hydrolic bocor.</p>",NULL,NULL,"1212",NULL,"2024-12-27 07:45:10","2024-12-27 08:07:39","2024-12-27 08:07:39"
"7","25","2024-12-23","<p>ganti tabung tilt 2pcs tilt dari PS484  antar gifa ex 137 las tabung 2pcs spare las konektor 1</p>",NULL,NULL,"1211",NULL,"2024-12-27 07:45:11","2024-12-27 08:07:39","2024-12-27 08:07:39"
"8","8","2024-12-23","<p>laporan forklift bocor oli : seal crankshaft belakang bocor, steering cylinder bocor, hydraulic pump bocor</p>",NULL,NULL,"1210",NULL,"2024-12-27 07:45:11","2024-12-27 08:07:38","2024-12-27 08:07:38"
"9","47","2024-12-23","<p></p>","<p>tambah plat bearing bracket mast 4pcs.  barang dari store tidak cocok. order kembali.</p>",NULL,"1209",NULL,"2024-12-27 07:45:11","2024-12-27 08:07:38","2024-12-27 08:07:38"
"10","47","2024-12-23","<p>pasang pin side shift 1pc las pipa side shift 1set hose side shift 1pc oli hidrolik 5L</p>",NULL,NULL,"1208",NULL,"2024-12-27 07:45:11","2024-12-27 08:07:38","2024-12-27 08:07:38"
"11","5","2024-12-23","<p>ganti lampu depan h3 1pc ganti lampu mundur 1pc</p>",NULL,NULL,"1207",NULL,"2024-12-27 07:45:11","2024-12-27 08:07:38","2024-12-27 08:07:38"
"12","4","2024-12-23","<p>laporan forklift tidak bisa start ganti batrai , pakai punya ps484</p>",NULL,NULL,"1206",NULL,"2024-12-27 07:45:11","2024-12-27 08:07:38","2024-12-27 08:07:38"
"13","20","2024-12-23","<p>ganti garpu ps 654 ke ps656.</p>",NULL,NULL,"1205",NULL,"2024-12-27 07:45:11","2024-12-27 08:07:38","2024-12-27 08:07:38"
"14","90","2024-12-23","<p>pm, oli mesin, filter oli, filter solar,saringan udara, oli transmisi 2ltr. recomend, kipas radiator patah, teflon side shift tipis, inching transmisi bocor, o ring conector transmisi bocor, ban belakang sudah gundul.</p>",NULL,NULL,"1204",NULL,"2024-12-27 07:45:11","2024-12-27 08:07:38","2024-12-27 08:07:38"
"15","81","2024-12-23","<p>check forklift. recomend, harus ganti bealting.</p>",NULL,NULL,"1203",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"16","104","2024-12-23","<p>Preventive Maintenance,</p>","<p>Lampu Kabin</p>",NULL,"1202",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"17","140","2024-12-23","<p>Preventive Maintenance</p>",NULL,NULL,"1201",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"18","95","2024-12-23","<p>Preventive Maintenance</p>",NULL,NULL,"1200",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"19","101","2024-12-21","<p>Preventive Maintenance,</p>","<p>Castore Wheel 2pcs & Error T226 206 S1 255 258 294 400 S2 240</p>",NULL,"1199",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"20","110","2024-12-21","<p>Preventive Maintenance,</p>","<p>Rantai Swing Cylinder 1 set</p>",NULL,"1198",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"21","105","2024-12-21","<p>Preventive Maintenance</p>",NULL,NULL,"1197",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"22","97","2024-12-21","<p>Preventive Maintenance</p>",NULL,NULL,"1196",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"23","206","2024-12-19","<p>1. ganti seatbelt w sensor x1set</p>",NULL,NULL,"1195",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"24","111","2024-12-20","<p>Preventive Maintenance,</p>","<p>Strobe Light, Guide Wheel, & Bearing Motor Tractions</p>",NULL,"1194",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"25","14","2024-12-18","<p>selesai body  painting</p>",NULL,NULL,"1192",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"26","106","2024-12-19","<p>Ganti Drive Wheel</p>",NULL,NULL,"1191",NULL,"2024-12-27 07:45:12","2024-12-27 08:07:38","2024-12-27 08:07:38"
"27","45","2024-12-19","<p>~Pasang Rubber Fork 2 pc. ~Ganti fafety belt 1 set.</p>",NULL,NULL,"1190",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"28","98","2024-12-19","<p>Ganti Load wheel : load wheel 4pcs, Bushing 8pcs, & Pin belah 4 pcs</p>",NULL,NULL,"1189",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"29","112","2024-12-19","<p>Ganti Kunci Kontak 801</p>",NULL,NULL,"1188",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"30","81","2024-12-18","<p>ganti rantai mast 1pcs</p>",NULL,NULL,"1187",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"31","37","2024-12-17","<p>ganti clam cylinder lift x1pc</p>",NULL,NULL,"1186",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"32","11","2024-12-16","<p>ganti hose radiator atas x1pc recommend baut karter rembes</p>",NULL,NULL,"1185",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"33","43","2024-12-13","<p>ganti pipa rem kanan x1 pcs isi oli hidrolik x45L isi oli atf x5L</p>",NULL,NULL,"1184",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"34","27","2024-10-16","<p>1. chain link x1pc 2. seal side shift x1set 3. bulb halogen x1pc 4. strobe led light x1pc 5. bulb 2 pin 12v x1pc</p>",NULL,NULL,"1183",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"35","27","2024-10-11","<p>1. fuel filter x1pc 2. oil filter x2pc 3. air filter x1pc 4. plate meter x1pc</p>",NULL,NULL,"1182",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"36","27","2024-10-10","<p>1. brake master cylinder x1pc 2. brake wheel x2pcs 3. brake cable L x1pc 4. brake cable R x1pc</p>",NULL,NULL,"1181",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"37","109","2024-12-18","<p>Pasang Block hose Steering</p>",NULL,NULL,"1180",NULL,"2024-12-27 07:45:13","2024-12-27 08:07:38","2024-12-27 08:07:38"
"38","109","2024-12-18","<p>Preventive Maintenance</p>",NULL,NULL,"1179",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"39","108","2024-12-18","<p>Preventive Maintenance</p>",NULL,NULL,"1178",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"40","24","2024-12-18","<p>o ring conector control valve 1pc, oli hydrolic 5ltr.</p>",NULL,NULL,"1177",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"41","30","2024-12-18","<p>forklift tak bisa stater       CEK FORKLIFT  RECOMEND 1. batrai 1pc 2. lock garpu 1pc</p>",NULL,NULL,"1176",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"42","112","2024-12-17","<p>Preventive Maintenance</p>",NULL,NULL,"1175",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"43","98","2024-12-17","<p>Preventive Maintenance,</p>","<p>Load wheel 4pcs, lock pin load wheel, Sealkit side shift</p>",NULL,"1174",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"44","21","2024-12-17","<p>pasang baut tali gas 1pc.</p>",NULL,NULL,"1173",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"45","205","2024-12-16","<p>pm, oli mesin 8ltr, filter oli1pc, filter solar2pc.</p>",NULL,NULL,"1172",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"46","39","2024-12-17","<p>ganti hose hydrolic ( hose steering ) 1pc, filter oli, filter solar, bealting50 1pc, kuras tanki solar.</p>",NULL,NULL,"1171",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"47","96","2024-12-16","<p>Preventive Maintenance,</p>","<p>Potensio Steering</p>",NULL,"1170",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"48","100","2024-12-16","<p>Preventive Maintenance,</p>","<p>Spion 2 Pcs</p>",NULL,"1169",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"49","107","2024-12-16","<p>Preventive Maintenance,</p>","<p>Seal kit set Head Lifting Cylinder 2 Set</p>",NULL,"1168",NULL,"2024-12-27 07:45:14","2024-12-27 08:07:38","2024-12-27 08:07:38"
"50","106","2024-12-16","<p>Preventive Maintenance,</p>",NULL,NULL,"1167",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"51","10","2024-12-02","<p>hose 12 mm 50cm.</p>",NULL,NULL,"1164",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"52","14","2024-12-05","<p>lampu rotary 1pc, oli gardan 2ltr.</p>",NULL,NULL,"1163",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"53","61","2024-12-13","<p>pm oli mesin, filter oli, filter solar, saringan udara, bola lampu h3 1pc, oli hydrolic 5ltr. recomend, inching transmisi bocor, karet cover klep bocor, pompa hydrolic bocor, besi teflon side shift rusak.</p>",NULL,NULL,"1161",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"54","203","2024-12-13","<p>Ganti Seal Kit Lifting Cylinder 1 set kanan</p>",NULL,NULL,"1160",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"55","202","2024-12-12","<p>Remove Steering axle, Over Houl axle,</p>",NULL,NULL,"1159",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"56","4","2024-12-12","<p>ganti starter.</p>",NULL,NULL,"1158",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"57","31","2024-12-12","<p>-kuras tangki, bersihkan filter hidrolik -oli hidrolik 36L -repair kabel lampu depan</p>",NULL,NULL,"1157",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"58","47","2024-12-12","<p>-ganti belting 47 x1pc</p>",NULL,NULL,"1156",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"59","8","2024-12-12","<p>ganti ban belakang 2pc, velk 1set, per pedal kopling 1pc.</p>",NULL,NULL,"1155",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"60","64","2024-12-12","<p>RECOMEND   REPAIR BRAKE SISTEM 1. brake shoe 4pc 2. brake wheel 2pc 3. brake fluid 1 btl</p>",NULL,NULL,"1154",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"61","201","2024-12-11","<p>Remove, Replace, & Instal Ban Belakang 5.00-8/3.300 Tokai</p>",NULL,NULL,"1153",NULL,"2024-12-27 07:45:15","2024-12-27 08:07:38","2024-12-27 08:07:38"
"62","45","2024-12-11","<p>service pm 1. filter oli 1pc 2. filter udara 1pc 3. filter solar 1pc 4. oli mesin 8 ltr 5. ban belakang 6.50 2pc 6. rim velg belakang 1 set</p>",NULL,NULL,"1152",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"63","18","2024-12-11","<p>sevice pm 1. filter oli 1pc 2. filter solar 1pc 3. filter udara 1pc 4. oli mesin 8 ltr 5.oli hydrolik 4 ltr 6. bolam K2 1pc</p>",NULL,NULL,"1151",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"64","18","2024-12-11","<p>service exle 1. king pin kiri 1 set 2. bush exle 2pc 3. seal kit cyl steeering 1set</p>",NULL,NULL,"1150",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"65","38","2024-12-11","<p>ganti per pedal kopling, ganti minyak rem. recomend, tutup radiator.</p>",NULL,NULL,"1149",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"66","22","2024-12-11","<p>PM</p>","<p>Apar , Fan Belt</p>",NULL,"1148",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"67","1","2024-12-11","<p>o ring conector pompa hydrolic 1pc oli hydrolic 4ltr.</p>",NULL,NULL,"1147",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"68","37","2024-12-11","<p>kuras tanki solar, filter solar 1pc. recomend, kepala filter solar.</p>",NULL,NULL,"1146",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"69","25","2024-12-10","<p>laporan converter case pecah starter pinion lepas.  ganti starter spare workshop x1</p>",NULL,NULL,"1145",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"70","37","2024-12-09","<p>bleeding fuel system</p>",NULL,NULL,"1144",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"71","47","2024-12-09","<p>ganti hose tilt (LH) out x1pc</p>",NULL,NULL,"1143",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"72","10","2024-12-09","<p>ukir ban depan x2</p>",NULL,NULL,"1142",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"73","9","2024-12-07","<p>ganti brake master x1pc</p>",NULL,NULL,"1141",NULL,"2024-12-27 07:45:16","2024-12-27 08:07:38","2024-12-27 08:07:38"
"74","10","2024-12-05","<p>ganti sealkit control valve x1set karet mount control valve x6pcs</p>",NULL,NULL,"1140",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"75","200","2024-12-10","<p>Check p.stacker tak mau naik turun & maju mundur naik turun & maju mundur sudah OK,</p>","<p>Seal kit Lifting & Seal Kit C.Valve</p>",NULL,"1139",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"76","199","2024-12-10","<p>Check p.stacker tak mau turun penuh,</p>","<p>Seal kit Lifting & Seal Kit C.Valve</p>",NULL,"1138",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"77","21","2024-12-10","<p>SERVICE PM 1. filter oli 1pc  2. filter solar 1pc 3. oli mesin 8 ltr          RECOMEND 1. tutup tanki solar 1pc</p>",NULL,NULL,"1137",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"78","2","2024-12-09","<p>1. repairbaut karter oli 1pc 2. baut velg pc 3. bolam k2 2pc 4. filter oli 1pc 5. filter solar 1pc 6. oli mesin 8 ltr</p>",NULL,NULL,"1135",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"79","38","2024-12-09","<p>pasang bealting (47), service radiator (side cover radiator 1pc. ) recomend, per pedal kopling patah.</p>",NULL,NULL,"1134",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"80","64","2024-12-07","<p>pm, oli mesin, filter oli, filter solar, teflon side shift 2pc, oli transmisi 1ltr. recomend mainlift cylinder bocor, ban belakang sudah gundul.</p>",NULL,NULL,"1133",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"81","176","2024-12-06","<p>pasang seat bealt.</p>",NULL,NULL,"1131",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"82","24","2024-12-06","<p>1. dinamo stater { BARU }  1pc 2. sepatu kabel 1pc</p>",NULL,NULL,"1130",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"83","54","2024-12-05","<p>service dinamo stater 1pc</p>",NULL,NULL,"1129",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"84","79","2024-12-05","<p>service pm 1. filter oli pc 2. filter solar 1pc 3. filter udara 1pc 4. oli mesin 8 ltr 5. oli gardan 2 ltr 6. bolam H2 1pc 7. bolam K2 1pc    RECOMEND 1. sealkit steering cylinder 1set</p>",NULL,NULL,"1128",NULL,"2024-12-27 07:45:17","2024-12-27 08:07:38","2024-12-27 08:07:38"
"85","10","2024-12-05","<p>check rear axle, teflon side shift 2pc, sealkit side shift 1set, pin side shift 1pc, bola lampu rem 1pc.</p>",NULL,NULL,"1127",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"86","14","2024-12-04","<p>ban belakang 2pc, bushing axle 2pc, baut roda 2pcs, oli gardan2ltr.</p>",NULL,NULL,"1122",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"87","81","2024-12-04","<p>1. ganti konector main lift 1pc 2. oli hydrolik 3 ltr</p>",NULL,NULL,"1121",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"88","19","2024-12-03","<p>service pm 1. filter oli 1pc 2. filter solar 1pc 3. oli mesin 8 ltr 4. bolam k2 1pc             RECOMEND 1. Ban belakang 2pc</p>",NULL,NULL,"1120",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"89","1","2024-12-03","<p>ganti bush handle 6pc</p>",NULL,NULL,"1119",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"90","5","2024-12-03","<p>service pm 1. filter oli 1pc 2. filter solar 1pc 3. oli mesin 8ltr 4. bolam k2 1pc             RECOMEND 1. filter udara 1pc</p>",NULL,NULL,"1118",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"91","55","2024-12-03","<p>CEK FORKLIFT RECOMEND 1. baut roda depan kiri 10 pc 2. velg roda 1pc</p>",NULL,NULL,"1117",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"92","9","2024-12-04","<p>repair brake system (RH) -brake shoe x2 -brake wheel x1 -brake fluid x1  Recomend tromol kanan bubut</p>",NULL,NULL,"1116",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"93","31","2024-12-03","<p>1. kuras tanki hydrolic, bersihkan filter tanki hydrolic, o ring conector 1pc, oli hydrolic 18ltr.</p>",NULL,NULL,"1114",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"94","170","2024-12-03","<p>Preventive Maintenance,</p>","<p>Karbon brush motor hidrolik</p>",NULL,"1113",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"95","169","2024-12-03","<p>Preventive Maintenance</p>",NULL,NULL,"1112",NULL,"2024-12-27 07:45:18","2024-12-27 08:07:38","2024-12-27 08:07:38"
"96","171","2024-12-03","<p>Preventive Maintenance</p>",NULL,NULL,"1111",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"97","64","2024-12-03","<p>pm, oli mesin, filter oli, filter solar, stel rem. recomend, side shift bocor.</p>",NULL,NULL,"1110",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"98","20","2024-11-30","<p>ganti switch lampu rem x1</p>",NULL,NULL,"1109",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"99","14","2024-12-03","<p>1. ganti seal kit control valve 1xset</p>",NULL,NULL,"1108",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"100","10","2024-12-02","<p>seal kit hydraulic pump x1set</p>",NULL,NULL,"1107",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"101","8","2024-12-02","<p>strobe light x1pc laporan strobe light mati</p>",NULL,NULL,"1106",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"102","14","2024-12-02","<p>sealkit cylinder steering 1set.</p>",NULL,NULL,"1105",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"103","48","2024-12-02","<p>hidupkan forklift 1job        RECOMEND 1. service alternator 1pc</p>",NULL,NULL,"1104",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"104","59","2024-12-02","<p>1. buang angin forklift 1job 2. fuse 10A 1pc 3. fuse 15A 1pc 4. setel blting 1job</p>",NULL,NULL,"1103",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"105","60","2024-12-02","<p>pm, oli mesin, filter oli, filter solar.  reccomend, lampu rotary mati, ban sudah gundul 4pc.</p>",NULL,NULL,"1102",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"106","168","2024-12-02","<p>Ganti hose side shift dan joy stick 2 arah side shift</p>",NULL,NULL,"1101",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"107","168","2024-12-02","<p>Preventive Maintenance,</p>","<p>Batre, hose side shift dan joystick 2 arah</p>",NULL,"1100",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"108","162","2024-12-02","<p>Preventive Maintenance</p>",NULL,NULL,"1099",NULL,"2024-12-27 07:45:19","2024-12-27 08:07:38","2024-12-27 08:07:38"
"109","14","2024-12-02","<p>buka rantai mast 2pc, buka control valve 1pc, buka cylinder steering 1pc.</p>",NULL,NULL,"1098",NULL,"2024-12-27 07:45:20","2024-12-27 08:07:38","2024-12-27 08:07:38"
